ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 00:00, 00:15,0.756,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 00:15, 00:30,0.748,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 00:30, 00:45,0.73,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 00:45, 01:00,0.409,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 01:00, 01:15,0.755,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 01:15, 01:30,0.364,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 01:30, 01:45,0.347,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 01:45, 02:00,0.281,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 02:00, 02:15,0.26,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 02:15, 02:30,0.288,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 02:30, 02:45,0.449,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 02:45, 03:00,0.724,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 03:00, 03:15,0.28,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 03:15, 03:30,0.294,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 03:30, 03:45,0.26,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 03:45, 04:00,0.27,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 04:00, 04:15,0.299,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 04:15, 04:30,0.268,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 04:30, 04:45,0.281,A,Consumption
'10443720001617272,12/26/2025,12/27/2025 07:41:58, 04:45, 05:00,0.289,A,Consumption
