ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 00:00, 00:15,0.307,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 00:15, 00:30,0.31,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 00:30, 00:45,0.298,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 00:45, 01:00,0.283,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 01:00, 01:15,0.281,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 01:15, 01:30,0.308,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 01:30, 01:45,0.288,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 01:45, 02:00,0.275,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 02:00, 02:15,0.304,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 02:15, 02:30,0.3,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 02:30, 02:45,0.275,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 02:45, 03:00,0.292,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 03:00, 03:15,0.293,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 03:15, 03:30,0.272,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 03:30, 03:45,0.281,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 03:45, 04:00,0.259,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 04:00, 04:15,0.288,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 04:15, 04:30,0.28,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 04:30, 04:45,0.248,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 04:45, 05:00,0.293,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 05:00, 05:15,0.386,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 05:15, 05:30,0.314,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 05:30, 05:45,0.359,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 05:45, 06:00,0.392,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 06:00, 06:15,0.413,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 06:15, 06:30,0.392,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 06:30, 06:45,0.436,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 06:45, 07:00,0.485,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 07:00, 07:15,0.434,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 07:15, 07:30,0.479,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 07:30, 07:45,0.376,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 07:45, 08:00,0.88,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 08:00, 08:15,0.82,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 08:15, 08:30,0.769,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 08:30, 08:45,0.841,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 08:45, 09:00,0.94,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 09:00, 09:15,1.219,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 09:15, 09:30,1.21,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 09:30, 09:45,1.222,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 09:45, 10:00,1.39,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 10:00, 10:15,1.458,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 10:15, 10:30,1.499,A,Consumption
'10443720001617272,12/21/2025,12/22/2025 07:38:58, 10:30, 10:45,1.408,A,Consumption
