ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 00:00, 00:15,0.806,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 00:15, 00:30,0.744,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 00:30, 00:45,0.775,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 00:45, 01:00,0.806,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 01:00, 01:15,0.73,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 01:15, 01:30,0.82,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 01:30, 01:45,0.763,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 01:45, 02:00,0.751,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 02:00, 02:15,0.836,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 02:15, 02:30,0.755,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 02:30, 02:45,0.803,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 02:45, 03:00,0.893,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 03:00, 03:15,0.751,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 03:15, 03:30,0.744,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 03:30, 03:45,0.768,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 03:45, 04:00,0.851,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 04:00, 04:15,0.725,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 04:15, 04:30,0.731,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 04:30, 04:45,0.718,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 04:45, 05:00,0.713,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 05:00, 05:15,0.724,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 05:15, 05:30,0.732,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 05:30, 05:45,0.734,A,Consumption
'10443720001617272,12/05/2025,12/06/2025 07:42:56, 05:45, 06:00,0.959,A,Consumption
