ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 00:00, 00:15,0.322,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 00:15, 00:30,0.343,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 00:30, 00:45,0.308,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 00:45, 01:00,0.304,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 01:00, 01:15,0.305,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 01:15, 01:30,0.31,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 01:30, 01:45,0.298,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 01:45, 02:00,0.287,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 02:00, 02:15,0.282,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 02:15, 02:30,0.319,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 02:30, 02:45,0.29,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 02:45, 03:00,0.286,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 03:00, 03:15,0.307,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 03:15, 03:30,0.311,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 03:30, 03:45,0.304,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 03:45, 04:00,0.311,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 04:00, 04:15,0.28,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 04:15, 04:30,0.317,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 04:30, 04:45,0.487,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 04:45, 05:00,0.282,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 05:00, 05:15,0.312,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 05:15, 05:30,0.324,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 05:30, 05:45,0.32,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 05:45, 06:00,0.494,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 06:00, 06:15,0.313,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 06:15, 06:30,0.312,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 06:30, 06:45,0.384,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 06:45, 07:00,0.446,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 07:00, 07:15,0.325,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 07:15, 07:30,0.304,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 07:30, 07:45,0.49,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 07:45, 08:00,0.346,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 08:00, 08:15,0.51,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 08:15, 08:30,0.4,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 08:30, 08:45,0.344,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 08:45, 09:00,0.517,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 09:00, 09:15,1.079,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 09:15, 09:30,0.941,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 09:30, 09:45,1.45,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 09:45, 10:00,1.404,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 10:00, 10:15,1.357,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 10:15, 10:30,1.358,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 10:30, 10:45,1.3,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 10:45, 11:00,1.481,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 11:00, 11:15,1.369,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 11:15, 11:30,1.264,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 11:30, 11:45,1.21,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 11:45, 12:00,1.301,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 12:00, 12:15,1.031,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 12:15, 12:30,1.156,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 12:30, 12:45,0.989,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 12:45, 13:00,1.126,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 13:00, 13:15,0.955,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 13:15, 13:30,1.085,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 13:30, 13:45,0.678,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 13:45, 14:00,0.578,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 14:00, 14:15,0.449,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 14:15, 14:30,0.451,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 14:30, 14:45,0.444,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 14:45, 15:00,0.448,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 15:00, 15:15,0.457,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 15:15, 15:30,0.529,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 15:30, 15:45,0.426,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 15:45, 16:00,0.482,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 16:00, 16:15,0.51,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 16:15, 16:30,0.407,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 16:30, 16:45,0.89,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 16:45, 17:00,0.862,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 17:00, 17:15,0.818,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 17:15, 17:30,0.976,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 17:30, 17:45,0.851,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 17:45, 18:00,0.986,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 18:00, 18:15,0.74,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 18:15, 18:30,0.899,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 18:30, 18:45,0.72,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 18:45, 19:00,0.761,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 19:00, 19:15,0.456,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 19:15, 19:30,0.398,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 19:30, 19:45,0.368,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 19:45, 20:00,0.359,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 20:00, 20:15,0.517,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 20:15, 20:30,0.516,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 20:30, 20:45,0.482,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 20:45, 21:00,0.541,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 21:00, 21:15,0.406,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 21:15, 21:30,0.574,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 21:30, 21:45,0.408,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 21:45, 22:00,0.498,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 22:00, 22:15,0.402,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 22:15, 22:30,0.389,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 22:30, 22:45,0.473,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 22:45, 23:00,0.367,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 23:00, 23:15,0.312,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 23:15, 23:30,0.34,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 23:30, 23:45,0.337,A,Consumption
'10443720001617272,11/30/2025,12/01/2025 07:40:12, 23:45, 00:00,0.332,A,Consumption
