ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 00:00, 00:15,0.524,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 00:15, 00:30,0.388,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 00:30, 00:45,0.466,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 00:45, 01:00,0.457,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 01:00, 01:15,0.366,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 01:15, 01:30,0.49,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 01:30, 01:45,0.416,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 01:45, 02:00,0.409,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 02:00, 02:15,0.508,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 02:15, 02:30,0.361,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 02:30, 02:45,0.458,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 02:45, 03:00,0.412,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 03:00, 03:15,0.402,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 03:15, 03:30,0.469,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 03:30, 03:45,0.337,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 03:45, 04:00,0.488,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 04:00, 04:15,0.383,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 04:15, 04:30,0.401,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 04:30, 04:45,0.452,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 04:45, 05:00,0.348,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 05:00, 05:15,0.482,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 05:15, 05:30,0.395,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 05:30, 05:45,0.704,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 05:45, 06:00,1.094,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 06:00, 06:15,0.821,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 06:15, 06:30,1.085,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 06:30, 06:45,0.905,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 06:45, 07:00,1.003,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 07:00, 07:15,0.979,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 07:15, 07:30,1.099,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 07:30, 07:45,0.94,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 07:45, 08:00,0.93,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 08:00, 08:15,1.001,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 08:15, 08:30,0.677,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 08:30, 08:45,0.504,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 08:45, 09:00,0.588,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 09:00, 09:15,1.11,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 09:15, 09:30,1.34,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 09:30, 09:45,1.057,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 09:45, 10:00,1.084,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 10:00, 10:15,1.024,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 10:15, 10:30,0.938,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 10:30, 10:45,1.009,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 10:45, 11:00,0.824,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 11:00, 11:15,0.92,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 11:15, 11:30,0.841,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 11:30, 11:45,0.806,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 11:45, 12:00,0.982,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 12:00, 12:15,0.809,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 12:15, 12:30,0.793,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 12:30, 12:45,0.892,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 12:45, 13:00,0.878,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 13:00, 13:15,0.883,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 13:15, 13:30,0.953,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 13:30, 13:45,0.587,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 13:45, 14:00,0.629,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 14:00, 14:15,0.511,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 14:15, 14:30,0.59,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 14:30, 14:45,0.509,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 14:45, 15:00,0.616,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 15:00, 15:15,0.534,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 15:15, 15:30,0.506,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 15:30, 15:45,0.484,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 15:45, 16:00,1.224,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 16:00, 16:15,1.094,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 16:15, 16:30,1.049,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 16:30, 16:45,1.082,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 16:45, 17:00,1.258,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 17:00, 17:15,1.24,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 17:15, 17:30,1.218,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 17:30, 17:45,1.192,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 17:45, 18:00,1.176,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 18:00, 18:15,1.157,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 18:15, 18:30,1.163,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 18:30, 18:45,1.073,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 18:45, 19:00,1.039,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 19:00, 19:15,0.703,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 19:15, 19:30,0.503,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 19:30, 19:45,0.479,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 19:45, 20:00,0.613,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 20:00, 20:15,0.476,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 20:15, 20:30,0.535,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 20:30, 20:45,0.538,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 20:45, 21:00,0.439,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 21:00, 21:15,0.564,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 21:15, 21:30,0.366,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 21:30, 21:45,0.344,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 21:45, 22:00,0.396,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 22:00, 22:15,0.433,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 22:15, 22:30,0.36,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 22:30, 22:45,0.458,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 22:45, 23:00,0.305,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 23:00, 23:15,0.461,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 23:15, 23:30,0.307,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 23:30, 23:45,0.47,A,Consumption
'10443720001617272,12/15/2025,12/16/2025 07:39:29, 23:45, 00:00,0.317,A,Consumption
