ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 00:00, 00:15,0.298,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 00:15, 00:30,0.284,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 00:30, 00:45,0.288,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 00:45, 01:00,0.312,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 01:00, 01:15,0.299,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 01:15, 01:30,0.348,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 01:30, 01:45,0.516,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 01:45, 02:00,0.474,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 02:00, 02:15,0.443,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 02:15, 02:30,0.319,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 02:30, 02:45,0.322,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 02:45, 03:00,0.319,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 03:00, 03:15,0.496,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 03:15, 03:30,0.286,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 03:30, 03:45,0.294,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 03:45, 04:00,0.302,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 04:00, 04:15,0.445,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 04:15, 04:30,0.378,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 04:30, 04:45,0.335,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 04:45, 05:00,0.295,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 05:00, 05:15,0.472,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 05:15, 05:30,0.332,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 05:30, 05:45,0.676,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 05:45, 06:00,0.883,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 06:00, 06:15,0.816,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 06:15, 06:30,0.811,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 06:30, 06:45,0.781,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 06:45, 07:00,0.91,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 07:00, 07:15,0.869,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 07:15, 07:30,0.756,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 07:30, 07:45,0.99,A,Consumption
'10443720001617272,12/20/2025,12/21/2025 08:10:35, 07:45, 08:00,0.818,A,Consumption
