ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 00:00, 00:15,0.379,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 00:15, 00:30,0.371,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 00:30, 00:45,0.378,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 00:45, 01:00,0.428,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 01:00, 01:15,0.476,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 01:15, 01:30,0.364,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 01:30, 01:45,0.388,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 01:45, 02:00,0.383,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 02:00, 02:15,0.348,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 02:15, 02:30,0.44,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 02:30, 02:45,0.45,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 02:45, 03:00,0.35,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 03:00, 03:15,0.368,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 03:15, 03:30,0.347,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 03:30, 03:45,0.499,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 03:45, 04:00,0.343,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 04:00, 04:15,0.352,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 04:15, 04:30,0.382,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 04:30, 04:45,0.341,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 04:45, 05:00,0.352,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 05:00, 05:15,0.414,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 05:15, 05:30,0.565,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 05:30, 05:45,0.402,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 05:45, 06:00,0.377,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 06:00, 06:15,0.371,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 06:15, 06:30,0.383,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 06:30, 06:45,0.538,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 06:45, 07:00,0.762,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 07:00, 07:15,0.818,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 07:15, 07:30,0.738,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 07:30, 07:45,0.732,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 07:45, 08:00,0.706,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 08:00, 08:15,0.691,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 08:15, 08:30,0.878,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 08:30, 08:45,0.686,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 08:45, 09:00,0.827,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 09:00, 09:15,1.1,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 09:15, 09:30,0.838,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 09:30, 09:45,0.911,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 09:45, 10:00,0.904,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 10:00, 10:15,0.803,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 10:15, 10:30,0.968,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 10:30, 10:45,0.804,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 10:45, 11:00,0.798,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 11:00, 11:15,0.828,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 11:15, 11:30,0.802,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 11:30, 11:45,0.799,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 11:45, 12:00,0.806,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 12:00, 12:15,0.8,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 12:15, 12:30,0.823,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 12:30, 12:45,0.814,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 12:45, 13:00,0.816,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 13:00, 13:15,0.814,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 13:15, 13:30,0.799,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 13:30, 13:45,0.528,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 13:45, 14:00,0.469,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 14:00, 14:15,0.336,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 14:15, 14:30,0.348,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 14:30, 14:45,0.334,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 14:45, 15:00,0.364,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 15:00, 15:15,0.366,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 15:15, 15:30,0.342,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 15:30, 15:45,0.71,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 15:45, 16:00,0.574,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 16:00, 16:15,0.551,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 16:15, 16:30,0.552,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 16:30, 16:45,0.535,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 16:45, 17:00,0.527,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 17:00, 17:15,0.624,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 17:15, 17:30,0.533,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 17:30, 17:45,0.304,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 17:45, 18:00,0.283,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 18:00, 18:15,0.29,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 18:15, 18:30,0.334,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 18:30, 18:45,0.365,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 18:45, 19:00,0.271,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 19:00, 19:15,0.443,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 19:15, 19:30,0.959,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 19:30, 19:45,0.875,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 19:45, 20:00,1.009,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 20:00, 20:15,0.562,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 20:15, 20:30,0.49,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 20:30, 20:45,0.428,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 20:45, 21:00,0.352,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 21:00, 21:15,0.305,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 21:15, 21:30,0.326,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 21:30, 21:45,0.3,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 21:45, 22:00,0.424,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 22:00, 22:15,0.325,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 22:15, 22:30,0.353,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 22:30, 22:45,0.409,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 22:45, 23:00,0.308,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 23:00, 23:15,0.665,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 23:15, 23:30,0.71,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 23:30, 23:45,0.596,A,Consumption
'10443720001617272,12/07/2025,12/08/2025 07:41:31, 23:45, 00:00,0.612,A,Consumption
