ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 00:00, 00:15,0.336,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 00:15, 00:30,0.463,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 00:30, 00:45,0.362,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 00:45, 01:00,0.34,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 01:00, 01:15,0.349,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 01:15, 01:30,0.328,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 01:30, 01:45,0.448,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 01:45, 02:00,0.385,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 02:00, 02:15,0.319,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 02:15, 02:30,0.347,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 02:30, 02:45,0.36,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 02:45, 03:00,0.451,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 03:00, 03:15,0.352,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 03:15, 03:30,0.337,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 03:30, 03:45,0.343,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 03:45, 04:00,0.37,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 04:00, 04:15,0.443,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 04:15, 04:30,0.32,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 04:30, 04:45,0.335,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 04:45, 05:00,0.352,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 05:00, 05:15,0.382,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 05:15, 05:30,0.416,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 05:30, 05:45,0.354,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 05:45, 06:00,0.85,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 06:00, 06:15,1.045,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 06:15, 06:30,0.826,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 06:30, 06:45,0.451,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 06:45, 07:00,0.433,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 07:00, 07:15,0.461,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 07:15, 07:30,0.434,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 07:30, 07:45,0.414,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 07:45, 08:00,0.467,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 08:00, 08:15,0.454,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 08:15, 08:30,0.485,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 08:30, 08:45,0.466,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 08:45, 09:00,0.538,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 09:00, 09:15,0.832,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 09:15, 09:30,0.9,A,Consumption
'10443720001617272,12/17/2025,12/18/2025 07:40:41, 09:30, 09:45,0.842,A,Consumption
