ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 00:00, 00:15,0.334,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 00:15, 00:30,0.314,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 00:30, 00:45,0.391,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 00:45, 01:00,0.382,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 01:00, 01:15,0.311,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 01:15, 01:30,0.488,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 01:30, 01:45,0.354,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 01:45, 02:00,0.337,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 02:00, 02:15,0.335,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 02:15, 02:30,0.404,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 02:30, 02:45,0.392,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 02:45, 03:00,0.312,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 03:00, 03:15,0.372,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 03:15, 03:30,0.436,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 03:30, 03:45,0.318,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 03:45, 04:00,0.358,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 04:00, 04:15,0.439,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 04:15, 04:30,0.336,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 04:30, 04:45,0.342,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 04:45, 05:00,0.474,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 05:00, 05:15,0.349,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 05:15, 05:30,0.876,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 05:30, 05:45,0.718,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 05:45, 06:00,0.749,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 06:00, 06:15,0.689,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 06:15, 06:30,0.83,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 06:30, 06:45,0.658,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 06:45, 07:00,0.449,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 07:00, 07:15,0.614,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 07:15, 07:30,0.824,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 07:30, 07:45,0.756,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 07:45, 08:00,0.61,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 08:00, 08:15,0.647,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 08:15, 08:30,0.854,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 08:30, 08:45,0.683,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 08:45, 09:00,0.642,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 09:00, 09:15,1.025,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 09:15, 09:30,1.142,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 09:30, 09:45,1.177,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 09:45, 10:00,1.032,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 10:00, 10:15,1.039,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 10:15, 10:30,1.012,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 10:30, 10:45,0.973,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 10:45, 11:00,0.95,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 11:00, 11:15,0.924,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 11:15, 11:30,0.952,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 11:30, 11:45,0.946,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 11:45, 12:00,0.944,A,Consumption
'10443720001617272,12/01/2025,12/02/2025 07:40:29, 12:00, 12:15,1.123,A,Consumption
