ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 00:00, 00:15,0.677,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 00:15, 00:30,0.676,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 00:30, 00:45,0.673,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 00:45, 01:00,0.734,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 01:00, 01:15,0.904,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 01:15, 01:30,0.806,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 01:30, 01:45,0.689,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 01:45, 02:00,0.686,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 02:00, 02:15,0.684,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 02:15, 02:30,0.677,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 02:30, 02:45,0.674,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 02:45, 03:00,0.757,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 03:00, 03:15,0.745,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 03:15, 03:30,0.671,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 03:30, 03:45,0.653,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 03:45, 04:00,0.661,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 04:00, 04:15,0.692,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 04:15, 04:30,0.823,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 04:30, 04:45,0.678,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 04:45, 05:00,0.674,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 05:00, 05:15,0.673,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 05:15, 05:30,0.756,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 05:30, 05:45,0.79,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 05:45, 06:00,0.948,A,Consumption
'10443720001617272,12/10/2025,12/11/2025 07:43:15, 06:00, 06:15,0.996,A,Consumption
