ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 00:00, 00:15,0.385,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 00:15, 00:30,0.755,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 00:30, 00:45,0.38,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 00:45, 01:00,0.437,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 01:00, 01:15,0.413,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 01:15, 01:30,0.364,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 01:30, 01:45,0.76,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 01:45, 02:00,0.736,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 02:00, 02:15,0.608,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 02:15, 02:30,0.724,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 02:30, 02:45,0.778,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 02:45, 03:00,0.739,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 03:00, 03:15,0.433,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 03:15, 03:30,0.661,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 03:30, 03:45,0.726,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 03:45, 04:00,0.35,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 04:00, 04:15,0.726,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 04:15, 04:30,0.343,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 04:30, 04:45,0.334,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 04:45, 05:00,0.347,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 05:00, 05:15,0.354,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 05:15, 05:30,0.348,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 05:30, 05:45,0.354,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 05:45, 06:00,0.352,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 06:00, 06:15,0.368,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 06:15, 06:30,0.37,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 06:30, 06:45,0.373,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 06:45, 07:00,0.876,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 07:00, 07:15,1.037,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 07:15, 07:30,0.949,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 07:30, 07:45,0.847,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 07:45, 08:00,0.83,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 08:00, 08:15,0.947,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 08:15, 08:30,0.848,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 08:30, 08:45,0.674,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 08:45, 09:00,0.73,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 09:00, 09:15,1.1,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 09:15, 09:30,0.758,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 09:30, 09:45,0.818,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 09:45, 10:00,0.577,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 10:00, 10:15,0.976,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 10:15, 10:30,0.922,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 10:30, 10:45,0.826,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 10:45, 11:00,0.455,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 11:00, 11:15,0.686,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 11:15, 11:30,0.809,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 11:30, 11:45,0.388,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 11:45, 12:00,1.132,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 12:00, 12:15,0.968,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 12:15, 12:30,1.061,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 12:30, 12:45,1.256,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 12:45, 13:00,0.766,A,Consumption
'10443720001617272,12/27/2025,12/28/2025 08:09:55, 13:00, 13:15,1.098,A,Consumption
