ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 00:00, 00:15,0.392,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 00:15, 00:30,0.833,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 00:30, 00:45,0.472,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 00:45, 01:00,0.402,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 01:00, 01:15,0.385,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 01:15, 01:30,0.586,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 01:30, 01:45,0.523,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 01:45, 02:00,0.818,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 02:00, 02:15,0.859,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 02:15, 02:30,0.318,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 02:30, 02:45,1.003,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 02:45, 03:00,0.313,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 03:00, 03:15,0.638,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 03:15, 03:30,0.612,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 03:30, 03:45,0.32,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 03:45, 04:00,0.677,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 04:00, 04:15,0.71,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 04:15, 04:30,0.322,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 04:30, 04:45,0.331,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 04:45, 05:00,0.934,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 05:00, 05:15,0.306,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 05:15, 05:30,0.324,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 05:30, 05:45,0.314,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 05:45, 06:00,0.54,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 06:00, 06:15,0.643,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 06:15, 06:30,0.316,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 06:30, 06:45,0.436,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 06:45, 07:00,0.61,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 07:00, 07:15,0.632,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 07:15, 07:30,0.463,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 07:30, 07:45,0.418,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 07:45, 08:00,0.448,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 08:00, 08:15,0.614,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 08:15, 08:30,0.425,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 08:30, 08:45,0.428,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 08:45, 09:00,0.654,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 09:00, 09:15,0.758,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 09:15, 09:30,0.674,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 09:30, 09:45,0.673,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 09:45, 10:00,0.686,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 10:00, 10:15,0.634,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 10:15, 10:30,0.584,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 10:30, 10:45,0.599,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 10:45, 11:00,0.607,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 11:00, 11:15,1.379,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 11:15, 11:30,0.546,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 11:30, 11:45,0.851,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 11:45, 12:00,0.684,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 12:00, 12:15,1.002,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 12:15, 12:30,1.253,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 12:30, 12:45,1.007,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 12:45, 13:00,0.637,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 13:00, 13:15,0.967,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 13:15, 13:30,0.61,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 13:30, 13:45,0.544,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 13:45, 14:00,0.805,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 14:00, 14:15,0.422,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 14:15, 14:30,0.811,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 14:30, 14:45,0.865,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 14:45, 15:00,0.397,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 15:00, 15:15,0.802,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 15:15, 15:30,0.979,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 15:30, 15:45,1.084,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 15:45, 16:00,0.994,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 16:00, 16:15,0.859,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 16:15, 16:30,0.888,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 16:30, 16:45,0.887,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 16:45, 17:00,0.43,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 17:00, 17:15,1.174,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 17:15, 17:30,0.937,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 17:30, 17:45,0.38,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 17:45, 18:00,0.346,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 18:00, 18:15,0.34,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 18:15, 18:30,0.371,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 18:30, 18:45,0.353,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 18:45, 19:00,0.328,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 19:00, 19:15,0.373,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 19:15, 19:30,0.374,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 19:30, 19:45,0.331,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 19:45, 20:00,0.367,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 20:00, 20:15,0.373,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 20:15, 20:30,0.323,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 20:30, 20:45,0.356,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 20:45, 21:00,0.374,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 21:00, 21:15,0.325,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 21:15, 21:30,0.336,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 21:30, 21:45,0.361,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 21:45, 22:00,0.709,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 22:00, 22:15,1.308,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 22:15, 22:30,0.751,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 22:30, 22:45,0.34,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 22:45, 23:00,0.812,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 23:00, 23:15,0.632,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 23:15, 23:30,0.43,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 23:30, 23:45,0.474,A,Consumption
'10443720001617272,12/24/2025,12/25/2025 07:42:51, 23:45, 00:00,0.365,A,Consumption
