ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 00:00, 00:15,0.282,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 00:15, 00:30,0.433,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 00:30, 00:45,0.286,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 00:45, 01:00,0.434,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 01:00, 01:15,0.269,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 01:15, 01:30,0.436,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 01:30, 01:45,0.296,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 01:45, 02:00,0.466,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 02:00, 02:15,0.365,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 02:15, 02:30,0.431,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 02:30, 02:45,0.313,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 02:45, 03:00,0.468,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 03:00, 03:15,0.304,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 03:15, 03:30,0.472,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 03:30, 03:45,0.289,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 03:45, 04:00,0.456,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 04:00, 04:15,0.313,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 04:15, 04:30,0.449,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 04:30, 04:45,0.337,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 04:45, 05:00,0.391,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 05:00, 05:15,0.412,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 05:15, 05:30,0.371,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 05:30, 05:45,0.434,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 05:45, 06:00,0.342,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 06:00, 06:15,0.42,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 06:15, 06:30,0.619,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 06:30, 06:45,0.682,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 06:45, 07:00,0.523,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 07:00, 07:15,0.488,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 07:15, 07:30,0.631,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 07:30, 07:45,0.622,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 07:45, 08:00,0.486,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 08:00, 08:15,0.367,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 08:15, 08:30,0.391,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 08:30, 08:45,0.599,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 08:45, 09:00,0.644,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 09:00, 09:15,0.874,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 09:15, 09:30,1.033,A,Consumption
'10443720001617272,12/19/2025,12/20/2025 07:38:25, 09:30, 09:45,1.02,A,Consumption
