ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 00:00, 00:15,0.84,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 00:15, 00:30,0.714,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 00:30, 00:45,0.806,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 00:45, 01:00,0.703,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 01:00, 01:15,0.7,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 01:15, 01:30,0.823,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 01:30, 01:45,0.71,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 01:45, 02:00,0.743,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 02:00, 02:15,0.835,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 02:15, 02:30,0.707,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 02:30, 02:45,0.76,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 02:45, 03:00,0.76,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 03:00, 03:15,0.695,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 03:15, 03:30,0.722,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 03:30, 03:45,0.808,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 03:45, 04:00,0.685,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 04:00, 04:15,0.828,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 04:15, 04:30,0.689,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 04:30, 04:45,0.66,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 04:45, 05:00,0.842,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 05:00, 05:15,0.694,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 05:15, 05:30,0.811,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 05:30, 05:45,0.706,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 05:45, 06:00,1.204,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 06:00, 06:15,1.039,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 06:15, 06:30,1.171,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 06:30, 06:45,0.829,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 06:45, 07:00,0.926,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 07:00, 07:15,0.758,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 07:15, 07:30,0.734,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 07:30, 07:45,0.764,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 07:45, 08:00,0.719,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 08:00, 08:15,0.715,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 08:15, 08:30,0.808,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 08:30, 08:45,0.73,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 08:45, 09:00,0.846,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 09:00, 09:15,1.208,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 09:15, 09:30,1.172,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 09:30, 09:45,1.036,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 09:45, 10:00,0.877,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 10:00, 10:15,0.973,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 10:15, 10:30,0.92,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 10:30, 10:45,1.016,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 10:45, 11:00,0.923,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 11:00, 11:15,0.949,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 11:15, 11:30,0.924,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 11:30, 11:45,0.884,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 11:45, 12:00,0.874,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 12:00, 12:15,0.982,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 12:15, 12:30,0.874,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 12:30, 12:45,0.875,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 12:45, 13:00,0.96,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 13:00, 13:15,0.93,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 13:15, 13:30,0.872,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 13:30, 13:45,0.565,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 13:45, 14:00,0.395,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 14:00, 14:15,0.419,A,Consumption
'10443720001617272,12/11/2025,12/12/2025 07:43:27, 14:15, 14:30,0.395,A,Consumption
