ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 00:00, 00:15,0.403,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 00:15, 00:30,0.565,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 00:30, 00:45,0.556,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 00:45, 01:00,0.535,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 01:00, 01:15,0.463,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 01:15, 01:30,0.432,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 01:30, 01:45,0.517,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 01:45, 02:00,0.476,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 02:00, 02:15,0.538,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 02:15, 02:30,0.425,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 02:30, 02:45,0.56,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 02:45, 03:00,0.431,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 03:00, 03:15,0.54,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 03:15, 03:30,0.394,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 03:30, 03:45,0.547,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 03:45, 04:00,0.403,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 04:00, 04:15,0.533,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 04:15, 04:30,0.4,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 04:30, 04:45,0.532,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 04:45, 05:00,0.386,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 05:00, 05:15,0.528,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 05:15, 05:30,0.442,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 05:30, 05:45,0.431,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 05:45, 06:00,0.51,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 06:00, 06:15,0.424,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 06:15, 06:30,0.51,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 06:30, 06:45,0.463,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 06:45, 07:00,1.218,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 07:00, 07:15,1.127,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 07:15, 07:30,1.141,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 07:30, 07:45,1.128,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 07:45, 08:00,1.23,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 08:00, 08:15,1.118,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 08:15, 08:30,1.088,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 08:30, 08:45,1.062,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 08:45, 09:00,1.376,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 09:00, 09:15,1.486,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 09:15, 09:30,1.483,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 09:30, 09:45,1.615,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 09:45, 10:00,1.61,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 10:00, 10:15,1.448,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 10:15, 10:30,1.355,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 10:30, 10:45,1.285,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 10:45, 11:00,1.276,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 11:00, 11:15,1.196,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 11:15, 11:30,1.187,A,Consumption
'10443720001617272,12/06/2025,12/07/2025 08:11:31, 11:30, 11:45,1.216,A,Consumption
