ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 00:00, 00:15,0.35,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 00:15, 00:30,0.338,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 00:30, 00:45,0.324,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 00:45, 01:00,0.332,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 01:00, 01:15,0.36,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 01:15, 01:30,0.394,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 01:30, 01:45,0.338,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 01:45, 02:00,0.338,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 02:00, 02:15,0.341,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 02:15, 02:30,0.33,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 02:30, 02:45,0.316,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 02:45, 03:00,0.319,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 03:00, 03:15,0.32,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 03:15, 03:30,0.325,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 03:30, 03:45,0.335,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 03:45, 04:00,0.313,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 04:00, 04:15,0.308,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 04:15, 04:30,0.332,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 04:30, 04:45,0.428,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 04:45, 05:00,0.324,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 05:00, 05:15,0.33,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 05:15, 05:30,0.344,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 05:30, 05:45,0.314,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 05:45, 06:00,0.311,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 06:00, 06:15,0.322,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 06:15, 06:30,0.331,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 06:30, 06:45,0.326,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 06:45, 07:00,0.877,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 07:00, 07:15,0.87,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 07:15, 07:30,0.868,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 07:30, 07:45,0.808,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 07:45, 08:00,0.79,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 08:00, 08:15,0.916,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 08:15, 08:30,0.811,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 08:30, 08:45,0.76,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 08:45, 09:00,0.86,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 09:00, 09:15,1.108,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 09:15, 09:30,1.098,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 09:30, 09:45,1.235,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 09:45, 10:00,1.097,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 10:00, 10:15,1.027,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 10:15, 10:30,1.046,A,Consumption
'10443720001617272,12/18/2025,12/19/2025 07:40:14, 10:30, 10:45,1.007,A,Consumption
