ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 00:00, 00:15,0.446,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 00:15, 00:30,0.433,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 00:30, 00:45,0.362,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 00:45, 01:00,0.34,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 01:00, 01:15,0.337,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 01:15, 01:30,0.431,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 01:30, 01:45,0.827,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 01:45, 02:00,0.313,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 02:00, 02:15,0.965,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 02:15, 02:30,0.292,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 02:30, 02:45,0.313,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 02:45, 03:00,0.416,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 03:00, 03:15,0.757,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 03:15, 03:30,0.324,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 03:30, 03:45,0.331,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 03:45, 04:00,0.292,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 04:00, 04:15,0.316,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 04:15, 04:30,0.51,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 04:30, 04:45,0.648,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 04:45, 05:00,0.314,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 05:00, 05:15,0.341,A,Consumption
'10443720001617272,12/25/2025,12/26/2025 07:53:32, 05:15, 05:30,0.302,A,Consumption
